availability,brand,gpu,imgs,long_specs,model,num_comments,num_reviews,price,prod_id,short_specs,stars,tdp,title,url,views,warranty
Đặt mua ngay,T400 4GB,90SKC000-M70AN0,"<div class=""carousel-icon-group container-icon owl-carousel owl-theme"" id=""js-main-img"" data-slider-id=""1"" style=""position:relative;"">
					<div class=""img-item"" onclick=""openBoxGallery(this);"" data-id=""anh_sp"">
						<a class=""javascript:void(0);"">
						<img src=""https://hanoicomputercdn.com/media/product/77715_card_man_hinh_nvidia_t400_4gb_90skc000_m70an0_3.png"" alt=""Card màn hình Nvidia T400 4GB (90SKC000-M70AN0) (Asus Server Accessory)"">
						</a>
					</div>
					
					
					
					
					<div class=""img-item"" onclick=""openBoxGallery(this);"" data-id=""anh_sp"">
						<a class=""javascript:void(0);"">
						<img src=""https://hanoicomputercdn.com/media/product/77715_card_man_hinh_nvidia_t400_4gb_90skc000_m70an0_2.png"" alt=""Card màn hình Nvidia T400 4GB (90SKC000-M70AN0) (Asus Server Accessory)"">
						</a>
					</div>
					
					
					
					<div class=""img-item"" onclick=""openBoxGallery(this);"" data-id=""anh_sp"">
						<a class=""javascript:void(0);"">
						<img src=""https://hanoicomputercdn.com/media/product/77715_card_man_hinh_nvidia_t400_4gb_90skc000_m70an0_1.png"" alt=""Card màn hình Nvidia T400 4GB (90SKC000-M70AN0) (Asus Server Accessory)"">
						</a>
					</div>
					
					
				</div>","<tbody>
<tr>
<td width=""124"" height=""20"">Thương hiệu</td>
<td width=""217"">Nvidia</td>
</tr>
<tr>
<td height=""20"">Tên sản phẩm</td>
<td>T400 4GB</td>
</tr>
<tr>
<td height=""20"">Hãng cung cấp</td>
<td>Asus</td>
</tr>
<tr>
<td height=""20"">Part number</td>
<td>90SKC000-M70AN0</td>
</tr>
<tr>
<td height=""20"">Bộ nhớ GPU</td>
<td>4GB GDDR6</td>
</tr>
<tr>
<td height=""20"">Giao tiếp bộ nhớ</td>
<td>64 bit</td>
</tr>
<tr>
<td height=""20"">Băng thông bộ nhớ</td>
<td>Lên tới 80GB/s</td>
</tr>
<tr>
<td height=""20"">Nhân Cuda</td>
<td>384</td>
</tr>
<tr>
<td height=""20"">Kết nối</td>
<td>PCI-E 3.0 X16</td>
</tr>
<tr>
<td height=""20"">Công suất tối đa</td>
<td>30W</td>
</tr>
<tr>
<td height=""20"">Kiểu dáng</td>
<td>1 slot</td>
</tr>
<tr>
<td height=""20"">Cổng kết nối</td>
<td>3 cổng mDP</td>
</tr>
<tr>
<td height=""40"">Phụ kiện</td>
<td width=""217"">Không bao gồm cáp chuyển đổi tín hiệu hình ảnh</td>
</tr>
</tbody>",Asus,0,0,3959000,VGAS748,"<ul class=""product-summary-item-ul d-flex flex-wrap mb-0"" id=""js-tskt-item"">
							
							<li>Nvidia T400 được thiết kế, xây dựng và thử nghiệm dành cho các yêu cầu công việc tính toán trực quan chuyên nghiệp. Được xác nhận trong các máy trạm OEM và được chứng nhận cho các ứng dụng phần mềm chuyên nghiệp.</li>
							
							<li>Nvidia T400 cung cấp hiệu suất, tính ổn định và độ tin cậy theo yêu cầu của các chuyên gia.</li>
							
						</ul>",0/5 ,,Card màn hình Nvidia T400 4GB (90SKC000-M70AN0) (Asus Server Accessory),https://hacom.vn/card-man-hinh-nvidia-t400-4gb-90skc000-m70an0-asus-server-accessory,1594,Bảo hành  36 Tháng 
,ASUS,NVIDIA® GeForce RTX™4090,"<div class=""carousel-icon-group container-icon owl-carousel owl-theme"" id=""js-main-img"" data-slider-id=""1"" style=""position:relative;"">
					<div class=""img-item"" onclick=""openBoxGallery(this);"" data-id=""anh_sp"">
						<a class=""javascript:void(0);"">
						<img src=""https://hanoicomputercdn.com/media/product/77018_card_man_hinh_asus_rog_strix_rtx4090_o24g_eva_02_edition__2_.jpg"" alt=""Card màn hình Asus ROG STRIX-RTX4090-O24G-EVA-02-EDITION"">
						</a>
					</div>
					
					
					
					
					<div class=""img-item"" onclick=""openBoxGallery(this);"" data-id=""anh_sp"">
						<a class=""javascript:void(0);"">
						<img src=""https://hanoicomputercdn.com/media/product/77018_card_man_hinh_asus_rog_strix_rtx4090_o24g_eva_02_edition__3_.jpg"" alt=""Card màn hình Asus ROG STRIX-RTX4090-O24G-EVA-02-EDITION"">
						</a>
					</div>
					
					
					
					<div class=""img-item"" onclick=""openBoxGallery(this);"" data-id=""anh_sp"">
						<a class=""javascript:void(0);"">
						<img src=""https://hanoicomputercdn.com/media/product/77018_card_man_hinh_asus_rog_strix_rtx4090_o24g_eva_02_edition__4_.jpg"" alt=""Card màn hình Asus ROG STRIX-RTX4090-O24G-EVA-02-EDITION"">
						</a>
					</div>
					
					
					
					<div class=""img-item"" onclick=""openBoxGallery(this);"" data-id=""anh_sp"">
						<a class=""javascript:void(0);"">
						<img src=""https://hanoicomputercdn.com/media/product/77018_card_man_hinh_asus_rog_strix_rtx4090_o24g_eva_02_edition__5_.jpg"" alt=""Card màn hình Asus ROG STRIX-RTX4090-O24G-EVA-02-EDITION"">
						</a>
					</div>
					
					
					
					<div class=""img-item"" onclick=""openBoxGallery(this);"" data-id=""anh_sp"">
						<a class=""javascript:void(0);"">
						<img src=""https://hanoicomputercdn.com/media/product/77018_card_man_hinh_asus_rog_strix_rtx4090_o24g_eva_02_edition__6_.jpg"" alt=""Card màn hình Asus ROG STRIX-RTX4090-O24G-EVA-02-EDITION"">
						</a>
					</div>
					
					
					
					<div class=""img-item"" onclick=""openBoxGallery(this);"" data-id=""anh_sp"">
						<a class=""javascript:void(0);"">
						<img src=""https://hanoicomputercdn.com/media/product/77018_card_man_hinh_asus_rog_strix_rtx4090_o24g_eva_02_edition__7_.jpg"" alt=""Card màn hình Asus ROG STRIX-RTX4090-O24G-EVA-02-EDITION"">
						</a>
					</div>
					
					
					
					<div class=""img-item"" onclick=""openBoxGallery(this);"" data-id=""anh_sp"">
						<a class=""javascript:void(0);"">
						<img src=""https://hanoicomputercdn.com/media/product/77018_card_man_hinh_asus_rog_strix_rtx4090_o24g_eva_02_edition__8_.jpg"" alt=""Card màn hình Asus ROG STRIX-RTX4090-O24G-EVA-02-EDITION"">
						</a>
					</div>
					
					
					
					<div class=""img-item"" onclick=""openBoxGallery(this);"" data-id=""anh_sp"">
						<a class=""javascript:void(0);"">
						<img src=""https://hanoicomputercdn.com/media/product/77018_card_man_hinh_asus_rog_strix_rtx4090_o24g_eva_02_edition__10_.jpg"" alt=""Card màn hình Asus ROG STRIX-RTX4090-O24G-EVA-02-EDITION"">
						</a>
					</div>
					
					
					
					<div class=""img-item"" onclick=""openBoxGallery(this);"" data-id=""anh_sp"">
						<a class=""javascript:void(0);"">
						<img src=""https://hanoicomputercdn.com/media/product/77018_card_man_hinh_asus_rog_strix_rtx4090_o24g_eva_02_edition__9_.jpg"" alt=""Card màn hình Asus ROG STRIX-RTX4090-O24G-EVA-02-EDITION"">
						</a>
					</div>
					
					
					
					<div class=""img-item"" onclick=""openBoxGallery(this);"" data-id=""anh_sp"">
						<a class=""javascript:void(0);"">
						<img src=""https://hanoicomputercdn.com/media/product/77018_card_man_hinh_asus_rog_strix_rtx4090_o24g_eva_02_edition__1_.jpg"" alt=""Card màn hình Asus ROG STRIX-RTX4090-O24G-EVA-02-EDITION"">
						</a>
					</div>
					
					
				</div>","<tbody>
<tr>
<td width=""142"">Sản phẩm</td>
<td width=""602"">VGA - Cạc đồ họa</td>
</tr>
<tr>
<td width=""142"">Tên Hãng</td>
<td width=""602"">ASUS</td>
</tr>
<tr>
<td width=""142"">Model</td>
<td width=""602"">ROG STRIX-RTX4090-O24G-EVA-02-EDITION</td>
</tr>
<tr>
<td width=""142"">Engine đồ họa</td>
<td width=""602"">NVIDIA® GeForce RTX™4090</td>
</tr>
<tr>
<td width=""142"">Chuẩn khe cắm</td>
<td width=""602"">PCI Express 4.0</td>
</tr>
<tr>
<td width=""142"">Bộ nhớ trong</td>
<td width=""602"">24GB</td>
</tr>
<tr>
<td width=""142"">Kiểu bộ nhớ</td>
<td width=""602"">GDDR6X</td>
</tr>
<tr>
<td width=""142"">Bus</td>
<td width=""602"">384-bit</td>
</tr>
<tr>
<td width=""142"">Core Clock</td>
<td width=""602"">OC mode: 2640 MHz<br>Default mode: 2610 MHz (Boost Clock)</td>
</tr>
<tr>
<td width=""142"">Cuda Cores</td>
<td width=""602"">16384</td>
</tr>
<tr>
<td width=""142"">Memory Speed</td>
<td width=""602"">21 Gbps</td>
</tr>
<tr>
<td width=""142"">Độ phân giải</td>
<td width=""602"">Digital Max Resolution 7680 x 4320</td>
</tr>
<tr>
<td width=""142"">Cổng giao tiếp</td>
<td width=""602"">Yes x 2 (Native HDMI 2.1a)<br>Yes x 3 (Native DisplayPort 1.4a)<br>HDCP Support Yes (2.3)</td>
</tr>
<tr>
<td width=""142"">Hỗ trợ màn hình</td>
<td width=""602"">4</td>
</tr>
<tr>
<td width=""142"">Kích thước</td>
<td width=""602"">Card: 35.76 x 14.93 x 7.1 centimeter</td>
</tr>
<tr>
<td width=""142"">OpenGL</td>
<td width=""602"">4.6</td>
</tr>
<tr>
<td width=""142"">Công suất nguồn yêu cầu</td>
<td width=""602"">1000W</td>
</tr>
<tr>
<td width=""142"">Đầu nối nguồn</td>
<td width=""602"">1 x 16-pin</td>
</tr>
<tr>
<td width=""142"">Slot</td>
<td width=""602"">3.5 slot</td>
</tr>
</tbody>",ROG STRIX-RTX4090-O24G-EVA-02-EDITION,0,0,65399000,VGAS741,"<ul class=""product-summary-item-ul d-flex flex-wrap mb-0"" id=""js-tskt-item"">
							
							<li>Dung lượng bộ nhớ: 24Gb GDDR6X </li>
							
							<li>Số nhân CUDA : 16384</li>
							
							<li>Xung nhịp: OC mode: 2640 MHz /</li>
							
							<li>OC mode: 2640 MHz/Default mode: 2610 MHz (Boost Clock)</li>
							
							<li>TDP: 450W</li>
							
							<li>Nguồn đề xuất: &gt;850W</li>
							
						</ul>",0/5 ,1000W,Card màn hình Asus ROG STRIX-RTX4090-O24G-EVA-02-EDITION,https://hacom.vn/card-man-hinh-asus-rog-strix-rtx4090-o24g-eva-02-edition,1358,Bảo hành 36 Tháng
