_id,base_clock,boost_clock,brand,core,cpu,iGPU,keyword,socket,tdp,thread
,1.6,2.0,intel,2,i5-4220Y,Intel® HD Graphics 4200,4220Y,FCBGA1168,115,4
,1.9,,intel,2,i3-4030U,Intel® HD Graphics 4400,4030U,FCBGA1168,15,4
,1.9,,intel,2,i3-4025U,Intel® HD Graphics 4400,4025U,FCBGA1168,15,4
,2.1,3.3,intel,4,i7-4760HQ,Intel® Iris® Pro Graphics 5200,4760HQ,FCBGA1364,47,8
,2.6,,intel,2,i3-4110M,Intel® HD Graphics 4600,4110M,FCPGA946,37,4
,3.2,4.0,intel,4,i7-4790S,Intel® HD Graphics 4600,4790S,FCLGA1150,65,8
,3.6,4.0,intel,4,i7-4790,Intel® HD Graphics 4600,4790,FCLGA1150,84,8
,2.2,3.2,intel,4,i7-4785T,Intel® HD Graphics 4600,4785T,FCLGA1150,35,8
,3.5,3.9,intel,4,i5-4690,Intel® HD Graphics 4600,4690,FCLGA1150,84,4
,3.2,3.9,intel,4,i5-4690S,Intel® HD Graphics 4600,4690S,FCLGA1150,65,4
,1.6,,intel,2,i3-4030Y,Intel® HD Graphics 4200,4030Y,FCBGA1168,115,4
,2.6,,intel,2,i3-4110E,Intel® HD Graphics 4600,4110E,FCBGA1364,37,4
,2.5,3.5,intel,4,i5-4690T,Intel® HD Graphics 4600,4690T,FCLGA1150,45,4
,2.0,,intel,2,i3-4120U,Intel® HD Graphics 4400,4120U,FCBGA1168,15,4
,3.0,3.7,intel,4,i5-4590S,Intel® HD Graphics 4600,4590S,FCLGA1150,65,4
,2.9,3.4,intel,4,i5-4460S,Intel® HD Graphics 4600,4460S,FCLGA1150,65,4
,3.2,3.4,intel,4,i5-4460,Intel® HD Graphics 4600,4460,FCLGA1150,84,4
,3.3,3.7,intel,4,i5-4590,Intel® HD Graphics 4600,4590,FCLGA1150,84,4
,2.7,3.9,intel,4,i7-4790T,Intel® HD Graphics 4600,4790T,FCLGA1150,45,8
,1.9,2.7,intel,4,i5-4460T,Intel® HD Graphics 4600,4460T,FCLGA1150,35,4
,2.0,3.0,intel,4,i5-4590T,Intel® HD Graphics 4600,4590T,FCLGA1150,35,4
,3.5,,intel,2,i3-4150,Intel® HD Graphics 4400,4150,FCLGA1150,54,4
,1.8,,intel,2,i3-4112E,Intel® HD Graphics 4600,4112E,FCBGA1364,25,4
,3.5,3.9,intel,4,i5-4690K,Intel® HD Graphics 4600,4690K,FCLGA1150,88,4
,4.0,4.4,intel,4,i7-4790K,Intel® HD Graphics 4600,4790K,FCLGA1150,88,8
,3.7,,intel,2,i3-4360,Intel® HD Graphics 4600,4360,FCLGA1150,54,4
,3.1,,intel,2,i3-4350T,Intel® HD Graphics 4600,4350T,FCLGA1150,35,4
,2.8,4.0,intel,4,i7-4980HQ,Intel® Iris® Pro Graphics 5200,4980HQ,FCBGA1364,47,8
,2.6,,intel,2,i3-4340TE,Intel® HD Graphics 4600,4340TE,FCLGA1150,35,4
,2.2,3.4,intel,4,i7-4770HQ,Intel® Iris® Pro Graphics 5200,4770HQ,FCBGA1364,47,8
,3.0,,intel,2,i3-4150T,Intel® HD Graphics 4400,4150T,FCLGA1150,35,4
,3.6,,intel,2,i3-4350,Intel® HD Graphics 4600,4350,FCLGA1150,54,4
,2.9,3.5,intel,2,i5-4210H,Intel® HD Graphics 4600,4210H,FCBGA1364,47,4
,2.8,3.3,intel,2,i5-4308U,Intel® Iris® Graphics 5100,4308U,FCBGA1168,28,4
,3.0,3.5,intel,2,i7-4578U,Intel® Iris® Graphics 5100,4578U,FCBGA1168,28,4
,2.5,3.7,intel,4,i7-4870HQ,Intel® Iris® Pro Graphics 5200,4870HQ,FCBGA1364,47,8
,3.6,,intel,2,i3-4160,Intel® HD Graphics 4400,4160,FCLGA1150,54,4
,3.1,,intel,2,i3-4160T,Intel® HD Graphics 4400,4160T,FCLGA1150,35,4
,3.3,3.6,intel,6,i7-5820K,None,5820K,FCLGA2011,140,12
,3.0,3.5,intel,8,i7-5960X,None,5960X,FCLGA2011,140,16
,0.8,2.0,intel,2,5Y10a,Intel® HD Graphics 5300,5Y10a,FCBGA1234,45,4
,2.6,3.1,intel,2,i5-4278U,Intel® Iris® Graphics 5100,4278U,FCBGA1168,28,4
,3.8,,intel,2,i3-4370,Intel® HD Graphics 4600,4370,FCLGA1150,54,4
,3.2,,intel,2,i3-4360T,Intel® HD Graphics 4600,4360T,FCLGA1150,35,4
,1.1,2.6,intel,2,5Y70,Intel® HD Graphics 5300,5Y70,FCBGA1234,45,4
,0.8,2.0,intel,2,5Y10,Intel® HD Graphics 5300,5Y10,FCBGA1234,45,4
,3.5,3.7,intel,6,i7-5930K,None,5930K,FCLGA2011,140,12
,2.4,3.0,intel,2,i7-5500U,Intel® HD Graphics 5500,5500U,FCBGA1168,15,4
,1.1,2.6,intel,2,5Y51,Intel® HD Graphics 5300,5Y51,FCBGA1234,45,4
,2.6,3.2,intel,2,i7-5600U,Intel® HD Graphics 5500,5600U,FCBGA1168,15,4
,1.2,2.9,intel,2,5Y71,Intel® HD Graphics 5300,5Y71,FCBGA1234,45,4
,2.3,2.9,intel,2,i5-5300U,Intel® HD Graphics 5500,5300U,FCBGA1168,15,4
,0.9,2.4,intel,2,5Y31,Intel® HD Graphics 5300,5Y31,FCBGA1234,45,4
,2.2,3.1,intel,2,i7-5650U,Intel® HD Graphics 6000,5650U,FCBGA1168,15,4
,2.9,3.3,intel,2,i5-5287U,Intel® Iris® Graphics 6100,5287U,FCBGA1168,28,4
,0.8,2.0,intel,2,5Y10c,Intel® HD Graphics 5300,5Y10c,FCBGA1234,45,4
,1.8,2.9,intel,2,i5-5350U,Intel® HD Graphics 6000,5350U,FCBGA1168,15,4
,2.0,3.0,intel,2,i7-5550U,Intel® HD Graphics 6000,5550U,FCBGA1168,15,4
,3.1,3.4,intel,2,i7-5557U,Intel® Iris® Graphics 6100,5557U,FCBGA1168,28,4
,1.6,2.7,intel,2,i5-5250U,Intel® HD Graphics 6000,5250U,FCBGA1168,15,4
,2.5,,intel,2,i3-5157U,Intel® Iris® Graphics 6100,5157U,FCBGA1168,28,4
,2.2,2.7,intel,2,i5-5200U,Intel® HD Graphics 5500,5200U,FCBGA1168,15,4
,2.7,3.1,intel,2,i5-5257U,Intel® Iris® Graphics 6100,5257U,FCBGA1168,28,4
,2.1,,intel,2,i3-5010U,Intel® HD Graphics 5500,5010U,FCBGA1168,15,4
,2.1,,intel,2,i3-5015U,Intel® HD Graphics 5500,5015U,FCBGA1168,15,4
,2.6,3.6,intel,4,i7-4720HQ,Intel® HD Graphics 4600,4720HQ,FCBGA1364,47,8
,2.0,,intel,2,i3-5005U,Intel® HD Graphics 5500,5005U,FCBGA1168,15,4
,2.4,3.4,intel,4,i7-4722HQ,Intel® HD Graphics 4600,4722HQ,FCBGA1364,37,8
,3.7,,intel,2,i3-4170,Intel® HD Graphics 4400,4170,FCLGA1150,54,4
,3.2,,intel,2,i3-4170T,Intel® HD Graphics 4400,4170T,FCLGA1150,35,4
,2.7,3.4,intel,4,i7-5850EQ,Intel® Iris® Pro Graphics 6200,5850EQ,FCBGA1364,47,8
,3.3,,intel,2,i3-4370T,Intel® HD Graphics 4600,4370T,FCLGA1150,35,4
,3.3,3.7,intel,4,i7-5775C,Intel® Iris® Pro Graphics 6200,5775C,FCLGA1150,65,8
,2.7,3.6,intel,4,i7-5850HQ,Intel® Iris® Pro Graphics 6200,5850HQ,FCBGA1364,47,8
,2.2,,intel,2,i3-5020U,Intel® HD Graphics 5500,5020U,FCBGA1168,15,4
,2.8,3.3,intel,4,i5-5575R,Intel® Iris® Pro Graphics 6200,5575R,FCBGA1364,65,
,4.0,4.2,intel,4,i7-6700K,Intel® HD Graphics 530,6700K,FCLGA1151,91,8
,3.1,3.6,intel,4,i5-5675R,Intel® Iris® Pro Graphics 6200,5675R,FCBGA1364,65,
,3.1,3.5,intel,2,i5-5350H,Intel® Iris® Pro Graphics 6200,5350H,FCBGA1364,47,4
,3.3,3.6,intel,2,i7-6567U,Intel® Iris® Graphics 550,6567U,FCBGA1356,28,4
,2.7,3.5,intel,4,i7-5700HQ,Intel® Iris® Pro Graphics 6200,5700HQ,FCBGA1364,47,8
,2.5,3.4,intel,4,i7-5750HQ,Intel® Iris® Pro Graphics 6200,5750HQ,FCBGA1364,47,8
,2.9,3.8,intel,4,i7-5950HQ,Intel® Iris® Pro Graphics 6200,5950HQ,FCBGA1364,47,8
,3.1,3.6,intel,4,i5-5675C,Intel® Iris® Pro Graphics 6200,5675C,FCLGA1150,65,
,2.6,3.4,intel,4,i7-5700EQ,None,5700EQ,FCBGA1364,47,8
,3.3,3.8,intel,4,i7-5775R,Intel® Iris® Pro Graphics 6200,5775R,FCBGA1364,65,8
,0.9,2.2,intel,2,M3-6Y30,Intel® HD Graphics 515,M36Y30,FCBGA1515,45,4
,2.7,3.6,intel,4,i7-6820HK,Intel® HD Graphics 530,6820HK,FCBGA1440,45,8
,1.1,2.7,intel,2,M5-6Y54,Intel® HD Graphics 515,M56Y54,FCBGA1515,45,4
,3.5,3.9,intel,4,i5-6600K,Intel® HD Graphics 530,6600K,FCLGA1151,91,4
,2.8,3.6,intel,4,i7-6700T,Intel® HD Graphics 530,6700T,FCLGA1151,35,8
,2.6,3.5,intel,4,i7-6700HQ,Intel® HD Graphics 530,6700HQ,FCBGA1440,45,8
,3.4,4.0,intel,4,i7-6700,Intel® HD Graphics 530,6700,FCLGA1151,65,8
,2.9,3.8,intel,4,i7-6920HQ,Intel® HD Graphics 530,6920HQ,FCBGA1440,45,8
,2.6,3.4,intel,2,i7-6600U,Intel® HD Graphics 520,6600U,FCBGA1356,15,4
,2.7,3.6,intel,4,i7-6820HQ,Intel® HD Graphics 530,6820HQ,FCBGA1440,45,8
,1.1,2.8,intel,2,M5-6Y57,Intel® HD Graphics 515,M56Y57,FCBGA1515,45,4
,2.2,3.2,intel,2,i7-6560U,Intel® Iris® Graphics 540,6560U,FCBGA1356,15,4
,2.5,3.1,intel,2,i7-6500U,Intel® HD Graphics 520,6500U,FCBGA1356,15,4
,3.3,3.9,intel,4,i5-6600,Intel® HD Graphics 530,6600,FCLGA1151,65,4
,2.6,3.5,intel,4,i5-6440HQ,Intel® HD Graphics 530,6440HQ,FCBGA1440,45,4
,2.2,3.4,intel,2,i7-6650U,Intel® Iris® Graphics 540,6650U,FCBGA1356,15,4
,1.2,3.1,intel,2,M7-6Y75,Intel® HD Graphics 515,M76Y75,FCBGA1515,45,4
,3.2,3.6,intel,4,i5-6500,Intel® HD Graphics 530,6500,FCLGA1151,65,4
,2.7,3.3,intel,4,i5-6400,Intel® HD Graphics 530,6400,FCLGA1151,65,4
,2.4,3.0,intel,2,i5-6300U,Intel® HD Graphics 520,6300U,FCBGA1356,15,4
,2.0,3.1,intel,2,i5-6360U,Intel® Iris® Graphics 540,6360U,FCBGA1356,15,4
,2.7,3.5,intel,4,i5-6600T,Intel® HD Graphics 530,6600T,FCLGA1151,35,4
,2.5,3.1,intel,4,i5-6500T,Intel® HD Graphics 530,6500T,FCLGA1151,35,4
,2.3,3.2,intel,4,i5-6300HQ,Intel® HD Graphics 530,6300HQ,FCBGA1440,45,4
,1.8,2.9,intel,2,i5-6260U,Intel® Iris® Graphics 540,6260U,FCBGA1356,15,4
,2.2,2.8,intel,4,i5-6400T,Intel® HD Graphics 530,6400T,FCLGA1151,35,4
,2.3,2.8,intel,2,i5-6200U,Intel® HD Graphics 520,6200U,FCBGA1356,15,4
,2.9,3.3,intel,2,i5-6267U,Intel® Iris® Graphics 550,6267U,FCBGA1356,28,4
,3.1,3.5,intel,2,i5-6287U,Intel® Iris® Graphics 550,6287U,FCBGA1356,28,4
,2.7,,intel,2,i3-6100H,Intel® HD Graphics 530,6100H,FCBGA1440,35,4
,3.7,,intel,2,i3-6100,Intel® HD Graphics 530,6100,FCLGA1151,51,4
,3.2,,intel,2,i3-6100T,Intel® HD Graphics 530,6100T,FCLGA1151,35,4
,3.8,,intel,2,i3-6300,Intel® HD Graphics 530,6300,FCLGA1151,51,4
,2.3,,intel,2,i3-6100U,Intel® HD Graphics 520,6100U,FCBGA1356,15,4
,3.9,,intel,2,i3-6320,Intel® HD Graphics 530,6320,FCLGA1151,51,4
,2.4,3.4,intel,4,i7-6700TE,Intel® HD Graphics 530,6700TE,FCLGA1151,35,8
,2.8,3.5,intel,4,i7-6820EQ,Intel® HD Graphics 530,6820EQ,FCBGA1440,45,8
,2.3,3.3,intel,4,i5-6500TE,Intel® HD Graphics 530,6500TE,FCLGA1151,35,4
,2.7,,intel,2,i3-6167U,Intel® Iris® Graphics 550,6167U,FCBGA1356,28,4
,1.9,,intel,2,i3-6102E,Intel® HD Graphics 530,6102E,FCBGA1440,25,4
,2.0,2.8,intel,4,i7-6822EQ,Intel® HD Graphics 530,6822EQ,FCBGA1440,25,8
,2.6,3.5,intel,4,i7-6770HQ,Intel® Iris® Pro Graphics 580,6770HQ,FCBGA1440,45,8
,2.7,3.4,intel,4,i5-6440EQ,Intel® HD Graphics 530,6440EQ,FCBGA1440,45,4
,2.7,,intel,2,i3-6100E,Intel® HD Graphics 530,6100E,FCBGA1440,35,4
,3.6,,intel,2,i3-6098P,Intel® HD Graphics 510,6098P,FCLGA1151,54,4
,2.8,3.4,intel,4,i5-6402P,Intel® HD Graphics 510,6402P,FCLGA1151,65,4
,2.7,,intel,2,i3-6100TE,Intel® HD Graphics 530,6100TE,FCLGA1151,35,4
,3.3,,intel,2,i3-6300T,Intel® HD Graphics 530,6300T,FCLGA1151,35,4
,1.9,2.7,intel,4,i5-6442EQ,Intel® HD Graphics 530,6442EQ,FCBGA1440,25,4
,2.8,3.7,intel,4,i7-6970HQ,Intel® Iris® Pro Graphics 580,6970HQ,FCBGA1440,45,8
,2.7,3.6,intel,4,i7-6870HQ,Intel® Iris® Pro Graphics 580,6870HQ,FCBGA1440,45,8
,3.0,3.5,intel,10,i7-6950X,None,6950X,FCLGA2011,140,20
,3.3,3.9,intel,4,i7-6785R,Intel® Iris® Pro Graphics 580,6785R,FCBGA1440,65,8
,2.3,3.2,intel,4,i5-6350HQ,Intel® Iris® Pro Graphics 580,6350HQ,FCBGA1440,45,4
,2.8,3.6,intel,4,i5-6585R,Intel® Iris® Pro Graphics 580,6585R,None,65,4
,3.2,3.8,intel,4,i5-6685R,Intel® Iris® Pro Graphics 580,6685R,None,65,4
,2.4,3.4,intel,2,i7-6660U,Intel® Iris® Graphics 540,6660U,FCBGA1356,15,4
,3.4,3.6,intel,6,i7-6800K,None,6800K,FCLGA2011,140,12
,2.7,3.5,intel,2,i7-7500U,Intel® HD Graphics 620,7500U,"FCBGA1356,FPBGA1356",15,4
,2.5,3.1,intel,2,i5-7200U,Intel® HD Graphics 620,7200U,"FCBGA1356,FPBGA1356",15,4
,3.2,3.7,intel,8,i7-6900K,None,6900K,FCLGA2011,140,16
,1.3,3.6,intel,2,i7-7Y75,Intel® HD Graphics 615,7Y75,FCBGA1515,45,4
,3.6,3.8,intel,6,i7-6850K,None,6850K,FCLGA2011,140,12
,2.4,,intel,2,i3-7100U,Intel® HD Graphics 620,7100U,"FCBGA1356,FPBGA1356",15,4
,1.2,3.2,intel,2,i5-7Y54,Intel® HD Graphics 615,7Y54,FCBGA1515,45,4
,1.0,2.6,intel,2,M3-7Y30,Intel® HD Graphics 615,M37Y30,FCBGA1515,45,4
,3.1,4.1,intel,4,i7-7920HQ,Intel® HD Graphics 630,7920HQ,FCBGA1440,45,8
,2.4,,intel,2,i3-6157U,Intel® Iris® Graphics 550,6157U,"FCBGA1356,FC-BGA1356",28,4
,2.9,3.8,intel,4,i7-7700T,Intel® HD Graphics 630,7700T,FCLGA1151,35,8
,2.0,,intel,2,i3-6006U,Intel® HD Graphics 520,6006U,FCBGA1356,15,4
,2.8,3.8,intel,4,i7-7700HQ,Intel® HD Graphics 630,7700HQ,FCBGA1440,45,8
,2.8,3.9,intel,2,i7-7600U,Intel® HD Graphics 620,7600U,"FCBGA1356,FPBGA1356",15,4
,3.6,4.2,intel,4,i7-7700,Intel® HD Graphics 630,7700,FCLGA1151,65,8
,4.2,4.5,intel,4,i7-7700K,Intel® HD Graphics 630,7700K,FCLGA1151,91,8
,3.0,3.7,intel,4,i7-7820EQ,Intel® HD Graphics 630,7820EQ,FCBGA1440,45,8
,3.5,4.0,intel,2,i7-7567U,Intel® Iris® Plus Graphics 650,7567U,FCBGA1356,28,4
,2.9,3.9,intel,4,i7-7820HK,Intel® HD Graphics 630,7820HK,FCBGA1440,45,8
,2.4,3.8,intel,2,i7-7560U,Intel® Iris® Plus Graphics 640,7560U,FCBGA1356,15,4
,1.2,3.3,intel,2,i5-7Y57,Intel® HD Graphics 615,7Y57,FCBGA1515,45,4
,2.9,3.9,intel,4,i7-7820HQ,Intel® HD Graphics 630,7820HQ,FCBGA1440,45,8
,2.8,3.7,intel,4,i5-7600T,Intel® HD Graphics 630,7600T,FCLGA1151,35,4
,2.7,3.3,intel,4,i5-7500T,Intel® HD Graphics 630,7500T,FCLGA1151,35,4
,3.5,4.1,intel,4,i5-7600,Intel® HD Graphics 630,7600,FCLGA1151,65,4
,3.8,4.2,intel,4,i5-7600K,Intel® HD Graphics 630,7600K,FCLGA1151,91,4
,3.4,3.8,intel,4,i5-7500,Intel® HD Graphics 630,7500,FCLGA1151,65,4
,2.5,4.0,intel,2,i7-7660U,Intel® Iris® Plus Graphics 640,7660U,FCBGA1356,15,4
,2.6,3.5,intel,2,i5-7300U,Intel® HD Graphics 620,7300U,"FCBGA1356,FPBGA1356",15,4
,3.0,3.5,intel,4,i5-7400,Intel® HD Graphics 630,7400,FCLGA1151,65,4
,2.9,3.6,intel,4,i5-7440EQ,Intel® HD Graphics 630,7440EQ,FCBGA1440,45,4
,2.1,2.9,intel,4,i5-7442EQ,Intel® HD Graphics 630,7442EQ,FCBGA1440,25,4
,2.5,3.5,intel,4,i5-7300HQ,Intel® HD Graphics 630,7300HQ,FCBGA1440,45,4
,3.1,3.5,intel,2,i5-7267U,Intel® Iris® Plus Graphics 650,7267U,None,28,4
,2.4,3.0,intel,4,i5-7400T,Intel® HD Graphics 630,7400T,FCLGA1151,35,4
,2.3,3.6,intel,2,i5-7360U,Intel® Iris® Plus Graphics 640,7360U,FCBGA1356,15,4
,4.2,,intel,2,i3-7350K,Intel® HD Graphics 630,7350K,FCLGA1151,60,4
,2.2,3.4,intel,2,i5-7260U,Intel® Iris® Plus Graphics 640,7260U,FCBGA1356,15,4
,3.3,3.7,intel,2,i5-7287U,Intel® Iris® Plus Graphics 650,7287U,None,28,4
,3.4,,intel,2,i3-7101TE,Intel® HD Graphics 630,7101TE,FCLGA1151,35,4
,3.5,,intel,2,i3-7300T,Intel® HD Graphics 630,7300T,FCLGA1151,35,4
,3.4,,intel,2,i3-7100T,Intel® HD Graphics 630,7100T,FCLGA1151,35,4
,2.1,,intel,2,i3-7102E,Intel® HD Graphics 630,7102E,FCBGA1440,25,4
,3.0,,intel,2,i3-7100H,Intel® HD Graphics 630,7100H,FCBGA1440,35,4
,3.9,,intel,2,i3-7100,Intel® HD Graphics 630,7100,FCLGA1151,51,4
,2.8,3.8,intel,4,i5-7440HQ,Intel® HD Graphics 630,7440HQ,None,45,4
,3.9,,intel,2,i3-7101E,Intel® HD Graphics 630,7101E,FCLGA1151,54,4
,4.1,,intel,2,i3-7320,Intel® HD Graphics 630,7320,FCLGA1151,51,4
,2.8,,intel,2,i3-7167U,Intel® Iris® Plus Graphics 650,7167U,None,28,4
,3.3,4.3,intel,10,i9-7900X,None,7900X,FCLGA2066,140,20
,4.0,,intel,2,i3-7300,Intel® HD Graphics 630,7300,FCLGA1151,51,4
,2.9,,intel,2,i3-7100E,Intel® HD Graphics 630,7100E,FCBGA1440,35,4
,4.3,4.5,intel,4,i7-7740X,None,7740X,FCLGA2066,112,8
,3.6,4.3,intel,8,i7-7820X,None,7820X,FCLGA2066,140,16
,1.9,4.2,intel,4,i7-8650U,Intel® UHD Graphics 620,8650U,"FCBGA1356,FC-BGA1356",15,8
,1.7,3.6,intel,4,i5-8350U,Intel® UHD Graphics 620,8350U,"FCBGA1356,FC-BGA1356",15,8
,1.6,3.4,intel,4,i5-8250U,Intel® UHD Graphics 620,8250U,"FCBGA1356,FC-BGA1356",15,8
,3.5,4.0,intel,6,i7-7800X,None,7800X,FCLGA2066,140,12
,1.1,3.0,intel,2,M3-7Y32,Intel® HD Graphics 615,M37Y32,FCBGA1515,45,4
,4.0,4.2,intel,4,i5-7640X,None,7640X,FCLGA2066,112,
,2.9,4.3,intel,12,i9-7920X,None,7920X,FCLGA2066,140,24
,1.8,4.0,intel,4,i7-8550U,Intel® UHD Graphics 620,8550U,"FCBGA1356,FC-BGA1356",15,8
,2.7,,intel,2,i3-7130U,Intel® HD Graphics 620,7130U,FCBGA1356,15,4
,2.6,4.2,intel,18,i9-7980XE,None,7980XE,FCLGA2066,165,36
,3.7,4.7,intel,6,i7-8700K,Intel® UHD Graphics 630,8700K,FCLGA1151,95,12
,3.2,4.6,intel,6,i7-8700,Intel® UHD Graphics 630,8700,FCLGA1151,65,12
,3.6,4.3,intel,6,i5-8600K,Intel® UHD Graphics 630,8600K,FCLGA1151,95,6
,2.8,4.2,intel,16,i9-7960X,None,7960X,FCLGA2066,165,32
,2.8,4.0,intel,6,i5-8400,Intel® UHD Graphics 630,8400,FCLGA1151,65,6
,3.6,,intel,4,i3-8100,Intel® UHD Graphics 630,8100,FCLGA1151,65,4
,4.0,,intel,4,i3-8350K,Intel® UHD Graphics 630,8350K,FCLGA1151,91,4
,3.1,4.2,intel,4,i7-8809G,Intel® HD Graphics 630,8809G,FCBGA2270,,8
,2.9,4.8,intel,6,i9-8950HK,Intel® UHD Graphics 630,8950HK,FCBGA1440,45,12
,3.1,4.3,intel,14,i9-7940X,None,7940X,FCLGA2066,165,28
,2.2,3.6,intel,6,i5-9500TE,Intel® UHD Graphics 630,9500TE,FCLGA1151,35,6
,2.3,,intel,2,i3-7020U,Intel® HD Graphics 620,7020U,"FCBGA1356,FC-BGA1356,FPBGA1356",15,4
,2.2,4.1,intel,6,i7-8750H,Intel® UHD Graphics 630,8750H,FCBGA1440,45,12
,2.2,3.4,intel,2,i3-8130U,Intel® UHD Graphics 620,8130U,FCBGA1356,15,4
,3.1,4.1,intel,4,i7-8705G,Intel® HD Graphics 630,8705G,FCBGA2270,,8
,2.6,4.3,intel,6,i7-8850H,Intel® UHD Graphics 630,8850H,FCBGA1440,45,12
,2.4,4.0,intel,6,i7-8700T,Intel® UHD Graphics 630,8700T,FCLGA1151,35,12
,2.8,3.8,intel,4,i5-8305G,Intel® HD Graphics 630,8305G,FCBGA2270,,8
,3.0,,intel,4,i3-8100H,Intel® UHD Graphics 630,8100H,FCBGA1440,45,4
,3.1,4.1,intel,4,i7-8709G,Intel® HD Graphics 630,8709G,FCBGA2270,,8
,3.1,4.1,intel,4,i7-8706G,Intel® HD Graphics 630,8706G,FCBGA2270,,8
,3.2,4.6,intel,6,i7-8700B,Intel® UHD Graphics 630,8700B,FCBGA1440,65,12
,3.1,4.3,intel,6,i5-8600,Intel® UHD Graphics 630,8600,FCLGA1151,65,6
,3.2,4.6,intel,6,i7-8700,Intel® UHD Graphics 630,8700,FCLGA1151,65,12
,2.3,3.7,intel,6,i5-8600T,Intel® UHD Graphics 630,8600T,FCLGA1151,35,6
,2.7,4.5,intel,4,i7-8559U,Intel® Iris® Plus Graphics 655,8559U,FCBGA1528,28,8
,3.0,4.1,intel,6,i5-8500B,Intel® UHD Graphics 630,8500B,FCBGA1440,65,6
,3.0,4.1,intel,6,i5-8500,Intel® UHD Graphics 630,8500,FCLGA1151,65,6
,2.5,4.2,intel,4,i5-8400H,Intel® UHD Graphics 630,8400H,FCBGA1440,45,8
,2.1,3.5,intel,6,i5-8500T,Intel® UHD Graphics 630,8500T,FCLGA1151,35,6
,3.0,4.1,intel,6,i5-8500,Intel® UHD Graphics 630,8500,FCLGA1151,65,6
,1.7,3.3,intel,6,i5-8400T,Intel® UHD Graphics 630,8400T,FCLGA1151,35,6
,2.3,4.0,intel,4,i5-8300H,Intel® UHD Graphics 630,8300H,FCBGA1440,45,8
,2.6,4.2,intel,4,i5-8269U,Intel® Iris® Plus Graphics 655,8269U,FCBGA1528,28,8
,2.8,4.0,intel,6,i5-8400,Intel® UHD Graphics 630,8400,FCLGA1151,65,6
,2.3,3.8,intel,4,i5-8259U,Intel® Iris® Plus Graphics 655,8259U,FCBGA1528,28,8
,3.2,,intel,4,i3-8300T,Intel® UHD Graphics 630,8300T,FCLGA1151,35,4
,2.8,4.0,intel,6,i5-8400B,Intel® UHD Graphics 630,8400B,FCBGA1440,65,6
,3.1,,intel,4,i3-8100T,Intel® UHD Graphics 630,8100T,FCLGA1151,35,4
,3.7,,intel,4,i3-8300,Intel® UHD Graphics 630,8300,FCLGA1151,62,4
,4.0,5.0,intel,6,i7-8086K,Intel® UHD Graphics 630,8086K,None,95,12
,1.8,4.6,intel,4,i7-8565U,Intel® UHD Graphics for 8th Generation Intel® Processors,8565U,FCBGA1528,15,8
,3.1,4.1,intel,4,i7-8706G,Intel® HD Graphics 630,8706G,FCBGA2270,,8
,3.0,3.6,intel,2,i3-8109U,Intel® Iris® Plus Graphics 655,8109U,FCBGA1528,28,4
,1.6,3.9,intel,4,i5-8265U,Intel® UHD Graphics for 8th Generation Intel® Processors,8265U,FCBGA1528,15,8
,2.8,3.8,intel,4,i5-8305G,Intel® HD Graphics 630,8305G,FCBGA2270,,8
,1.3,3.9,intel,2,i5-8200Y,Intel® UHD Graphics 615,8200Y,FCBGA1515,5,4
,1.1,3.4,intel,2,m3-8100Y,Intel® UHD Graphics 615,m38100Y,FCBGA1515,5,4
,3.6,,intel,4,i3-8100B,Intel® UHD Graphics 630,8100B,FCBGA1440,65,4
,1.5,4.2,intel,2,i7-8500Y,Intel® UHD Graphics 615,8500Y,FCBGA1515,5,4
,2.1,3.9,intel,2,i3-8145U,Intel® UHD Graphics for 8th Generation Intel® Processors,8145U,FCBGA1528,15,4
,2.2,3.9,intel,2,i3-8145UE,Intel® UHD Graphics 620,8145UE,FCBGA1528,15,4
,3.5,4.4,intel,12,i9-9920X,None,9920X,FCLGA2066,165,24
,1.7,4.4,intel,4,i7-8665UE,Intel® UHD Graphics 620,8665UE,FCBGA1528,15,8
,3.0,4.4,intel,18,i9-9980XE,None,9980XE,FCLGA2066,165,36
,1.6,3.6,intel,2,i5-8210Y,Intel® UHD Graphics 617,8210Y,FCBGA1515,7,4
,3.3,4.4,intel,14,i9-9940X,None,9940X,FCLGA2066,165,28
,1.6,4.1,intel,4,i5-8365UE,Intel® UHD Graphics 620,8365UE,FCBGA1528,15,8
,3.1,4.4,intel,16,i9-9960X,None,9960X,FCLGA2066,165,32
,3.6,5.0,intel,8,i9-9900K,Intel® UHD Graphics 630,9900K,FCLGA1151,95,16
,3.5,4.4,intel,10,i9-9900X,None,9900X,FCLGA2066,165,20
,3.8,4.4,intel,8,i7-9800X,None,9800X,FCLGA2066,165,16
,3.3,4.1,intel,10,i9-9820X,None,9820X,FCLGA2066,165,20
,3.6,4.9,intel,8,i7-9700K,Intel® UHD Graphics 630,9700K,FCLGA1151,95,8
,3.7,4.6,intel,6,i5-9600K,Intel® UHD Graphics 630,9600K,FCLGA1151,95,6
,3.6,5.0,intel,8,i9-9900KF,None,9900KF,FCLGA1151,95,16
,3.7,4.6,intel,6,i5-9600KF,None,9600KF,FCLGA1151,95,6
,1.6,3.9,intel,2,i5-8310Y,Intel® UHD Graphics 617,8310Y,FCBGA1515,7,4
,2.9,4.1,intel,6,i5-9400F,None,9400F,FCLGA1151,65,6
